2020中国大学排行榜(完整榜单)
校友会大学排名 软科大学排名 武书连大学排名 QS大学排名
泰晤士 ESI Usnews 更多排名
名次 学校名称 全国排名 星级排名 办学层次
13 重庆大学城市科技学院 22 5★ 中国一流独立学院
14 云南大学滇池学院 25 5★ 中国一流独立学院
14 河南大学民生学院 25 4★ 中国高水平独立学院
16 云南师范大学文理学院 28 4★ 中国高水平独立学院
17 贵州大学明德学院 30 4★ 中国高水平独立学院
18 昆明理工大学津桥学院 31 4★ 中国高水平独立学院
19 河北大学工商学院 32 5★ 中国一流独立学院
20 云南大学旅游文化学院 37 5★ 中国一流独立学院
21 电子科技大学中山学院 41 4★ 中国高水平独立学院
22 东北师范大学人文学院 45 5★ 中国一流独立学院
23 浙江师范大学行知学院 51 4★ 中国高水平独立学院
24 西北工业大学明德学院 52 4★ 中国高水平独立学院
25 南昌大学科学技术学院 59 4★ 中国高水平独立学院
26 集美大学诚毅学院 64 3★ 区域一流独立学院
27 北京工业大学耿丹学院 65 3★ 区域一流独立学院
28 苏州科技大学天平学院 67 3★ 区域一流独立学院
28 北京科技大学天津学院 67 3★ 区域一流独立学院
30 福建师范大学协和学院 70 3★ 区域一流独立学院
31 北京邮电大学世纪学院 71 4★ 中国高水平独立学院
32 湘潭大学兴湘学院 73 3★ 区域一流独立学院
33 福州大学至诚学院 75 3★ 区域一流独立学院
34 西南交通大学希望学院 78 3★ 区域一流独立学院
35 宁波大学科学技术学院 80 3★ 区域一流独立学院
36 南京邮电大学通达学院 82 3★ 区域一流独立学院
37 广州大学松田学院 85 3★ 区域一流独立学院
38 广西大学行健文理学院 89 3★ 区域一流独立学院
39 苏州大学文正学院 91 3★ 区域一流独立学院
40 江西师范大学科学技术学院 94 3★ 区域一流独立学院
41 贵州大学科技学院 97 3★ 区域一流独立学院
42 天津师范大学津沽学院 101 3★ 区域一流独立学院
43 上海师范大学天华学院 105 3★ 区域一流独立学院
44 南京信息工程大学滨江学院 107 3★ 区域一流独立学院
45 扬州大学广陵学院 108 2★ 区域高水平独立学院
46 广西师范大学漓江学院 117 2★ 区域高水平独立学院
47 广东海洋大学寸金学院 118 2★ 区域高水平独立学院
48 烟台大学文经学院 122 2★ 区域高水平独立学院
49 江苏师范大学科文学院 128 2★ 区域高水平独立学院
50 安徽大学江淮学院 129 2★ 区域高水平独立学院
51 南京工业大学浦江学院 131 2★ 区域高水平独立学院
